id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,listing_id,polarity,price,minimum_nights,maximum_nights,host_is_superhost
973475508391518956,4,4.0,4.33,4.0,5.0,5.0,5.0,4.0,Shibuya Ku,9.73475508391519e+17,0.4061,"11,712.00",1,365,False
973479756701687581,4,4.75,5.0,4.5,4.5,5.0,4.75,4.75,Shinjuku Ku,9.734797567016876e+17,0.4404,"12,429.00",1,365,False
973481568177307939,9,4.44,4.67,4.56,4.56,5.0,4.44,4.33,Shinjuku Ku,9.734815681773079e+17,0.8194166666666667,"12,243.00",1,365,False
973483790281210281,5,4.8,4.8,4.6,4.8,4.8,4.8,5.0,Shinjuku Ku,9.734837902812102e+17,0.7109000000000001,"13,429.00",1,365,False
973499877254272364,10,4.7,4.7,4.6,5.0,5.0,4.4,4.5,Sumida Ku,9.734998772542724e+17,0.72432,"37,143.00",1,60,True
973513051965948991,9,4.33,4.67,4.22,4.89,4.78,4.67,4.67,Shinjuku Ku,9.735130519659489e+17,0.72995,"17,571.00",1,365,False
975104090333125801,3,4.33,4.0,4.0,4.33,4.67,3.67,4.0,Edogawa Ku,9.751040903331258e+17,0.4019,"15,285.00",1,365,False
975106546353683724,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Shibuya Ku,9.751065463536837e+17,0.8999,"13,714.00",1,365,False
975114486411041451,10,4.82,4.82,4.73,4.91,5.0,4.91,4.82,Minato Ku,9.751144864110414e+17,0.717,"3,247.00",1,1125,False
975124273746949364,8,4.75,4.88,5.0,4.5,5.0,4.5,5.0,Katsushika Ku,9.751242737469494e+17,0.8922,"24,943.00",1,50,False
975153448833289604,4,4.5,4.75,5.0,5.0,5.0,4.75,4.5,Arakawa Ku,9.751534488332896e+17,0.6324,"11,286.00",2,365,False
975334536878640034,8,4.63,4.75,4.5,4.38,5.0,4.75,4.63,Katsushika Ku,9.7533453687864e+17,0.5673333333333334,"19,100.00",3,365,False
973553222985971877,8,4.75,4.86,5.0,4.86,4.86,4.86,4.57,Shinjuku Ku,9.735532229859718e+17,0.85106,"59,886.00",1,180,False
973562422719366840,10,4.45,4.73,4.82,4.91,4.91,4.45,4.64,Shibuya Ku,9.735624227193668e+17,0.804975,"19,857.00",1,365,False
973576968324577660,5,3.4,3.6,3.2,4.0,4.2,4.6,3.8,Arakawa Ku,9.735769683245777e+17,0.14359999999999998,"16,143.00",1,365,True
973587545633087868,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Edogawa Ku,9.735875456330879e+17,-0.8001,"2,957.00",3,365,False
973605370131121476,6,4.5,4.2,4.8,4.2,5.0,4.4,4.0,Taito Ku,9.736053701311215e+17,0.2845,"16,251.00",1,30,True
975597440749691282,6,4.86,5.0,4.86,4.86,5.0,4.14,4.86,Taito Ku,9.755974407496913e+17,0.2202,"36,571.00",1,30,True
975620752022313454,5,5.0,4.6,5.0,5.0,5.0,5.0,5.0,Minato Ku,9.756207520223135e+17,0.8347249999999999,"3,373.00",1,100,False
975654245036347427,7,4.86,4.86,5.0,4.86,5.0,4.57,4.71,Taito Ku,9.756542450363474e+17,0.7785500000000001,"37,714.00",1,30,True
975676597056886434,6,4.33,4.33,4.5,4.67,4.83,4.5,4.5,Minato Ku,9.756765970568864e+17,0.39440000000000003,"3,373.00",1,100,False
975718229597571696,8,4.38,4.63,4.13,4.63,4.63,4.38,4.5,Toshima Ku,9.757182295975717e+17,0.8279,"17,276.00",1,365,False
973635272266185096,5,4.6,5.0,5.0,5.0,4.8,4.8,5.0,Shibuya Ku,9.736352722661851e+17,0.9193,"13,071.00",1,365,False
973641535414191823,7,4.71,5.0,5.0,4.14,5.0,4.14,4.57,Taito Ku,9.736415354141919e+17,0.6559999999999999,"15,589.00",1,30,True
973644196161440664,4,4.5,4.5,5.0,4.5,5.0,4.0,4.33,Shibuya Ku,9.736441961614406e+17,0.7819333333333334,"12,286.00",5,10,True
973645726755182671,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Shibuya Ku,9.736457267551827e+17,0.6249,"14,000.00",5,10,True
973657225398276390,9,4.78,4.78,4.78,4.56,4.89,4.89,4.67,Sumida Ku,9.736572253982764e+17,0.6252,"50,000.00",1,365,True
975725098934422628,10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Toshima Ku,9.757250989344227e+17,0.6676000000000001,"16,984.00",1,365,False
975780830412488160,5,4.8,4.8,4.8,4.8,4.8,4.8,4.8,Toshima Ku,9.757808304124882e+17,0.5415333333333333,"31,571.00",4,365,False
975861685750041456,12,4.83,4.75,4.92,4.83,5.0,4.42,4.67,Minato Ku,9.758616857500415e+17,0.79108,"39,566.00",2,365,True
975874759866775753,2,4.5,5.0,4.5,5.0,5.0,4.5,4.5,Shinjuku Ku,9.758747598667758e+17,0.5609,"35,543.00",4,365,False
975979968676292955,8,5.0,4.88,5.0,5.0,5.0,4.88,5.0,Shibuya Ku,9.75979968676293e+17,0.731275,"28,571.00",1,365,False
976256586087104418,10,4.36,4.73,4.45,4.64,4.55,4.45,4.64,Nakano Ku,9.762565860871044e+17,0.6327666666666666,"18,000.00",1,365,False
976275594480929859,6,4.83,4.8,4.8,5.0,5.0,4.6,4.8,Taito Ku,9.762755944809299e+17,0.721625,"17,524.00",2,730,False
976320082668566497,10,4.8,5.0,5.0,4.9,5.0,4.8,4.7,Shibuya Ku,9.763200826685665e+17,0.6884714285714286,"19,929.00",1,365,False
973685550181607114,7,5.0,5.0,5.0,5.0,4.89,5.0,5.0,Shinjuku Ku,9.736855501816072e+17,0.9245833333333334,"67,857.00",2,365,False
973692047854517781,6,4.86,4.71,5.0,5.0,5.0,4.43,4.71,Toshima Ku,9.736920478545178e+17,0.836525,"11,857.00",3,365,False
973769805913829299,11,4.64,4.64,4.82,4.55,4.82,4.64,4.64,Shinjuku Ku,9.737698059138292e+17,0.8475874999999999,"24,071.00",2,365,True
973775317770719946,12,5.0,5.0,4.91,5.0,5.0,5.0,5.0,Shinjuku Ku,9.7377531777072e+17,0.8797454545454545,"24,071.00",1,365,True
976369434777982569,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Shinjuku Ku,9.763694347779826e+17,0.6301,"12,957.00",3,730,False
973787486362213441,3,4.5,4.5,4.75,4.75,4.75,4.25,4.25,Taito Ku,9.737874863622135e+17,0.7615,"21,000.00",2,1125,False
976394271837143824,8,4.88,5.0,4.63,5.0,5.0,4.88,5.0,Shibuya Ku,9.763942718371438e+17,0.6772199999999999,"12,063.00",3,730,False
976461994468985582,7,4.86,4.5,5.0,5.0,5.0,5.0,4.5,Shinjuku Ku,9.764619944689856e+17,0.86914,"53,237.00",1,365,False
976497378313295058,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nakano Ku,9.764973783132951e+17,0.7463500000000001,"14,143.00",1,365,True
976582464843609267,10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Shinjuku Ku,9.765824648436092e+17,0.7303666666666667,"56,000.00",1,365,True
976722608636177285,6,4.67,4.67,4.33,4.67,4.83,4.5,4.83,Taito Ku,9.767226086361773e+17,0.49796666666666667,"11,000.00",2,30,False
976729740544157676,2,4.33,4.67,4.67,4.67,4.67,3.67,4.0,Bunkyo Ku,9.767297405441577e+17,0.4588,"25,029.00",2,30,False
976729870569870591,5,4.0,4.0,4.4,4.6,4.4,4.6,4.2,Taito Ku,9.767298705698706e+17,0.792625,"24,686.00",2,30,False
976760916925921642,8,4.38,4.75,4.0,5.0,5.0,4.63,4.63,Taito Ku,9.767609169259217e+17,0.60682,"7,429.00",2,30,False
976783205766763828,8,4.44,4.56,4.11,4.89,4.89,4.33,4.33,Taito Ku,9.767832057667638e+17,0.7552666666666666,"7,143.00",2,30,False
976809530989849433,6,4.83,4.67,4.5,4.83,4.67,4.67,4.67,Nakano Ku,9.768095309898495e+17,0.6755,"25,429.00",1,365,False
973877153109443977,7,4.29,3.83,3.67,4.17,4.5,4.33,3.67,Taito Ku,9.73877153109444e+17,0.3812,"52,000.00",2,365,False
974170294282279876,16,4.75,4.81,4.81,4.81,4.69,4.94,4.63,Shibuya Ku,9.7417029428228e+17,0.671875,"65,714.00",2,180,True
